name,url,author,num_watch,num_stars,num_forks,num_open_issues,last_updated
queues.io,https://github.com/strzalek/queues.io,strzalek,627,627,96,29,2013-07-26T19:32:26Z
rails-must-watch,https://github.com/gerricchaplin/rails-must-watch,gerricchaplin,6,6,0,0,2014-07-11T11:37:08Z
resource-list,https://github.com/kyasui/resource-list,kyasui,5,5,0,0,2014-07-29T13:44:29Z
resources,https://github.com/hr-14-15/resources,hr-14-15,141,141,43,0,2014-06-29T20:24:51Z
resources,https://github.com/jbranchaud/resources,jbranchaud,3,3,0,4,2014-03-03T19:58:52Z
Resources,https://github.com/tevko/Resources,tevko,357,357,41,1,2013-07-19T17:31:00Z
rss-readers-list,https://github.com/smithbr/rss-readers-list,smithbr,16,16,7,0,2013-06-25T03:00:39Z
ruby-bookmarks,https://github.com/dreikanter/ruby-bookmarks,dreikanter,931,931,117,2,2014-06-25T13:23:41Z
rubybib.org,https://github.com/rubybib/rubybib.org,rubybib,25,25,4,1,2014-12-31T21:39:32Z
ruby-dev-bookmarks,https://github.com/saberma/ruby-dev-bookmarks,saberma,373,373,94,0,2013-06-24T14:59:03Z
ruby-nlp,https://github.com/diasks2/ruby-nlp,diasks2,410,410,25,0,2015-03-23T03:48:13Z
ruby-trivia,https://github.com/gregstallings/ruby-trivia,gregstallings,693,693,122,2,2013-03-30T19:49:28Z
rust-lang-resources,https://github.com/dschenkelman/rust-lang-resources,dschenkelman,1,1,0,0,2014-10-11T03:21:04Z
rx-react-flux,https://github.com/christianramsey/rx-react-flux,christianramsey,8,8,1,0,2015-07-14T02:21:05Z
scalable-css-reading-list,https://github.com/davidtheclark/scalable-css-reading-list,davidtheclark,828,828,39,0,2014-09-03T00:13:24Z
secure-email,https://github.com/OpenTechFund/secure-email,OpenTechFund,295,295,39,12,2014-02-02T22:00:03Z
search-engine-optimization,https://github.com/marcobiedermann/search-engine-optimization,marcobiedermann,56,56,8,4,2014-12-18T18:00:35Z
services-engineering,https://github.com/mmcgrana/services-engineering,mmcgrana,1841,1841,102,49,2013-10-05T12:49:03Z
shellshocker-pocs,https://github.com/mubix/shellshocker-pocs,mubix,535,535,100,3,2014-09-27T06:57:22Z
spawnedshelter,https://github.com/pyotrgalois/spawnedshelter,unbalancedparentheses,79,79,12,1,2014-04-24T16:16:37Z
speech-language-processing,https://github.com/edobashira/speech-language-processing,edobashira,130,130,29,3,2014-07-30T20:18:53Z
StartupKnowledgeBase,https://github.com/bnjs/StartupKnowledgeBase,bnjs,7,7,0,0,2014-08-17T10:12:53Z
startup-must-watch,https://github.com/gerricchaplin/startup-must-watch,gerricchaplin,15,15,1,0,2014-08-17T13:40:22Z
startupreadings,https://github.com/dennybritz/startupreadings,dennybritz,96,96,21,0,2013-07-31T05:06:54Z
Startup-Resources,https://github.com/JonathanZWhite/startup-resources,JonathanZWhite,2,2,2,1,2014-09-29T18:29:32Z
static-site-generator-comparison,https://github.com/jaspervdj/static-site-generator-comparison,jaspervdj,96,96,141,5,2013-01-24T17:32:21Z
Static-Site-Generators,https://github.com/pinceladasdaweb/Static-Site-Generators,pinceladasdaweb,313,313,56,0,2013-04-06T23:53:08Z
streaming-papers,https://github.com/sorenmacbeth/streaming-papers,sorenmacbeth,114,114,9,0,2013-07-22T22:28:13Z
sublime,https://github.com/JaredCubilla/sublime,JaredCubilla,388,388,36,0,2014-10-13T01:18:35Z
sublime-bookmarks,https://github.com/dreikanter/sublime-bookmarks,dreikanter,243,243,15,1,2014-07-14T16:03:22Z
SwiftInFlux,https://github.com/ksm/SwiftInFlux,ksm,1873,1873,82,15,2014-07-05T12:39:10Z
tech-weekly,https://github.com/adrianmoisey/tech-weekly,adrianmoisey,2,2,1,0,2014-07-23T08:58:27Z
Toolbox,https://github.com/Dillion/Toolbox,Dillion,10,10,0,0,2013-10-29T01:51:41Z
tool_lists,https://github.com/johnyf/tool_lists,johnyf,54,54,8,0,2013-09-24T02:29:59Z
tools,https://github.com/lvwzhen/tools,lvwzhen,141,141,19,1,2014-07-03T15:49:51Z
ToolsOfTheTrade,https://github.com/cjbarber/ToolsOfTheTrade,cjbarber,5840,5840,571,45,2014-05-29T04:11:33Z
