name,url,author,num_watch,num_stars,num_forks,num_open_issues,last_updated,last_push
github-hall-of-fame,https://github.com/mehulkar/github-hall-of-fame,mehulkar,42,416,21,8,2015-10-07T17:09:23Z,2015-09-08T01:15:28Z
go-must-watch,https://github.com/sauravtom/go-must-watch,sauravtom,2,13,0,0,2015-08-18T16:14:23Z,2015-03-07T02:08:42Z
GoBooks,https://github.com/dariubs/GoBooks,dariubs,155,1440,133,1,2015-10-11T15:25:06Z,2015-10-09T16:44:12Z
graphics-resources,https://github.com/mattdesl/graphics-resources,mattdesl,59,632,47,0,2015-10-09T16:43:41Z,2015-07-24T13:57:08Z
hackathon_resources,https://github.com/myearwood/hackathon_resources,myearwood,2,14,3,0,2015-08-21T17:35:00Z,2014-08-07T04:27:00Z
Hackathon-Resources,https://github.com/xasos/Hackathon-Resources,xasos,6,89,23,0,2015-10-11T06:52:27Z,2015-07-28T01:23:59Z
haskell-must-watch,https://github.com/drKraken/haskell-must-watch,drKraken,41,454,33,0,2015-10-07T02:19:02Z,2015-09-15T17:00:28Z
HeadlessBrowsers,https://github.com/dhamaniasad/HeadlessBrowsers,dhamaniasad,9,139,11,0,2015-10-07T23:40:08Z,2015-05-30T20:12:45Z
hipchat-alternatives,https://github.com/cjbarber/hipchat-alternatives,cjbarber,19,191,25,6,2015-10-11T02:35:05Z,2015-09-28T07:29:02Z
idaplugins-list,https://github.com/onethawt/idaplugins-list,onethawt,40,170,32,0,2015-10-11T21:43:42Z,2015-10-11T00:36:43Z
ideas,https://github.com/samsquire/ideas,samsquire,282,2339,196,4,2015-10-10T13:20:58Z,2015-08-16T12:22:39Z
Inspire,https://github.com/Codingbean/Inspire,noahbuscher,26,281,19,0,2015-10-07T01:55:25Z,2015-09-23T21:17:29Z
InterviewThis,https://github.com/ChiperSoft/InterviewThis,ChiperSoft,44,803,72,0,2015-10-11T22:14:18Z,2015-08-18T16:10:01Z
ios-awesome-libraries,https://github.com/kaiinui/ios-awesome-libraries,kaiinui,1,1,0,0,2015-08-14T14:23:14Z,2014-11-04T21:16:00Z
iOSDevResource,https://github.com/objcc/iOSDevResource,OBJCC,4,7,2,0,2015-09-08T14:37:37Z,2014-09-21T14:02:14Z
iOS-Developer-and-Designer-Interview-Questions,https://github.com/CameronBanga/iOS-Developer-and-Designer-Interview-Questions,CameronBanga,59,775,95,0,2015-10-11T19:27:28Z,2015-10-07T15:03:13Z
javascript-patterns,https://github.com/shichuan/javascript-patterns,shichuan,541,7059,1334,59,2015-10-11T17:35:30Z,2015-10-09T19:23:08Z
javascript-resources,https://github.com/alexeygolovnya/javascript-resources,ztsu,1,3,0,0,2015-08-18T22:59:38Z,2015-02-11T03:46:28Z
javascript-sdk-design,https://github.com/huei90/javascript-sdk-design,huei90,7,55,5,2,2015-09-21T04:11:38Z,2015-10-06T02:31:49Z
jsemu,https://github.com/fcambus/jsemu,fcambus,18,129,6,0,2015-10-07T17:14:27Z,2015-09-13T12:21:31Z
jslibs,https://github.com/epeli/jslibs,epeli,3,47,3,0,2015-08-24T12:40:11Z,2015-06-26T07:59:51Z
js-must-watch,https://github.com/bolshchikov/js-must-watch,bolshchikov,953,10029,694,13,2015-10-11T20:40:43Z,2015-08-07T14:34:18Z
jsonauts.github.com,https://github.com/jsonauts/jsonauts.github.com,jsonauts,1,10,1,1,2015-01-03T07:44:53Z,2013-10-29T13:52:09Z
jstools,https://github.com/codefellows/jstools,codefellows,33,185,34,8,2015-09-20T02:06:02Z,2014-04-07T04:20:30Z
js-type-master,https://github.com/yumyo/js-type-master,yumyo,3,44,4,0,2015-09-05T02:30:30Z,2015-01-28T11:30:59Z
Julia.jl,https://github.com/svaksha/Julia.jl,svaksha,36,238,59,1,2015-10-05T21:15:26Z,2015-10-10T22:25:52Z
killer-talks,https://github.com/PharkMillups/killer-talks,PharkMillups,25,226,21,1,2015-09-18T17:38:29Z,2015-03-25T18:20:28Z
language-list,https://github.com/thomasfoster96/language-list,thomasfoster96,1,6,1,0,2015-09-23T15:46:15Z,2015-07-12T10:57:59Z
Laravel-Resources,https://github.com/abhimanyusharma003/Laravel-Resources,abhimanyusharma003,17,76,27,0,2015-09-02T13:09:57Z,2015-03-15T18:11:58Z
learn-drupal,https://github.com/rocketeerbkw/learn-drupal,rocketeerbkw,1,0,0,0,2014-06-08T06:36:28Z,2014-06-08T06:36:27Z
learnhaskell,https://github.com/bitemyapp/learnhaskell,bitemyapp,200,2937,234,6,2015-10-11T14:07:00Z,2015-09-24T04:13:19Z
learning-resources,https://github.com/jshomes/learning-resources,jshomes,14,83,11,6,2015-10-06T20:58:59Z,2015-09-15T21:15:39Z
learn-python,https://github.com/adrianmoisey/learn-python,adrianmoisey,3,15,5,0,2015-09-17T04:56:27Z,2015-09-19T07:48:08Z
learn-to-program,https://github.com/karlhorky/learn-to-program,karlhorky,25,102,16,9,2015-10-10T03:23:32Z,2015-09-05T21:21:33Z
learn-tt,https://github.com/jozefg/learn-tt,jozefg,34,325,10,1,2015-10-11T18:12:37Z,2015-10-10T14:43:26Z
learnxinyminutes-docs,https://github.com/adambard/learnxinyminutes-docs,adambard,143,2844,1049,162,2015-10-11T17:59:04Z,2015-10-11T18:22:55Z
libertr,https://github.com/Libertr/libertr,gaapt,2,6,2,0,2015-08-15T19:13:40Z,2015-08-24T02:44:18Z
lifeofjs,https://github.com/abhijeetkpawar/lifeofjs,abhijeetkpawar,8,29,14,1,2015-08-16T18:51:47Z,2014-08-08T07:30:43Z
ListOfMinimalistFrameworks,https://github.com/neiesc/ListOfMinimalistFrameworks,neiesc,157,2537,220,4,2015-10-10T13:09:54Z,2015-09-10T15:38:31Z
magictools,https://github.com/ellisonleao/magictools,ellisonleao,170,2463,198,2,2015-10-10T03:40:06Z,2015-09-18T16:10:36Z
manong,https://github.com/nemoTyrant/manong,nemoTyrant,454,2747,629,0,2015-10-11T14:29:50Z,2015-09-23T04:18:02Z
markdown-resources,https://github.com/rhythmus/markdown-resources,rhythmus,10,107,12,4,2015-10-08T13:52:37Z,2015-07-27T21:33:41Z
Awesome-MaterialDesign,https://github.com/lightSky/MaterialDesignCenter,lightSky,245,2652,728,4,2015-10-11T12:13:57Z,2015-07-27T08:35:53Z
my_tech_resources,https://github.com/JamesLavin/my_tech_resources,JamesLavin,9,36,4,0,2015-09-28T21:53:16Z,2015-10-09T23:01:57Z
must-watch-css,https://github.com/AllThingsSmitty/must-watch-css,AllThingsSmitty,228,1781,127,0,2015-10-11T03:43:00Z,2015-10-10T18:23:06Z
must-watch-javascript,https://github.com/AllThingsSmitty/must-watch-javascript,AllThingsSmitty,69,388,31,1,2015-10-10T06:54:44Z,2015-08-19T14:20:59Z
resources,https://github.com/nashville-lispers/resources,nashville-lispers,2,2,0,0,2015-01-18T11:49:57Z,2015-01-18T11:48:59Z
neural-network-papers,https://github.com/robertsdionne/neural-network-papers,robertsdionne,85,719,75,0,2015-10-11T06:40:57Z,2015-10-08T01:59:28Z
nginx-resources,https://github.com/fcambus/nginx-resources,fcambus,108,1426,121,0,2015-10-11T17:07:00Z,2015-08-30T08:11:12Z
node-daily,https://github.com/dailyNode/node-daily,dailyNode,59,322,63,0,2015-10-09T03:04:56Z,2015-07-28T07:47:40Z
node-frameworks,https://github.com/pillarjs/node-frameworks,pillarjs,12,238,14,3,2015-09-14T03:32:28Z,2014-11-23T06:48:47Z
nodejs-conference-cfps,https://github.com/rosskukulinski/nodejs-conference-cfps,rosskukulinski,1,0,0,0,2014-08-05T06:07:43Z,2014-08-27T17:12:25Z
NodeJS-Learning,https://github.com/sergtitov/NodeJS-Learning,sergtitov,44,399,107,1,2015-10-11T11:02:54Z,2015-09-20T12:40:27Z
NotesIndex,https://github.com/Wilbeibi/NotesIndex,Wilbeibi,22,151,34,0,2015-10-07T04:25:51Z,2015-08-29T06:24:27Z
npm-algos,https://github.com/tejasmanohar/npm-algos,tejasmanohar,43,733,42,0,2015-10-10T19:50:24Z,2015-10-06T16:55:11Z
offline-first,https://github.com/pazguille/offline-first,pazguille,81,1120,66,3,2015-10-10T21:50:18Z,2015-09-03T03:55:59Z
open-source-android-apps,https://github.com/pcqpcq/open-source-android-apps,pcqpcq,228,2249,380,5,2015-10-11T23:07:52Z,2015-10-10T02:45:49Z
open-source-ios-apps,https://github.com/dkhamsing/open-source-ios-apps,dkhamsing,234,2512,396,4,2015-10-11T23:16:34Z,2015-10-10T14:22:53Z
ops-books,https://github.com/stack72/ops-books,stack72,48,420,35,4,2015-10-08T18:27:33Z,2015-05-29T09:00:16Z
papers,https://github.com/NicolasT/papers,NicolasT,1,11,0,0,2015-09-19T01:54:34Z,2015-09-13T11:15:35Z
papers-we-love,https://github.com/papers-we-love/papers-we-love,papers-we-love,1376,14379,1401,11,2015-10-11T20:07:46Z,2015-10-11T21:41:48Z
pattern_classification,https://github.com/rasbt/pattern_classification,rasbt,159,1327,321,0,2015-10-11T13:06:41Z,2015-10-07T05:49:27Z
